,Month,Payment,LeasePayment,InterestExpense,PrincipalRepayment,LeaseLiability,ROUAmortization,ROUAsset
1,2024-09-01,1,2000,900.73,1099.27,179047.64,1501.22,178645.68
2,2024-10-01,2,2000,895.24,1104.76,177942.88,1501.22,177144.46
3,2024-11-01,3,2000,889.71,1110.29,176832.59,1501.22,175643.23
4,2024-12-01,4,2000,884.16,1115.84,175716.76,1501.22,174142.01
5,2025-01-01,5,2000,878.58,1121.42,174595.34,1501.22,172640.79
6,2025-02-01,6,2000,872.98,1127.02,173468.32,1501.22,171139.56
7,2025-03-01,7,2000,867.34,1132.66,172335.66,1501.22,169638.34
8,2025-04-01,8,2000,861.68,1138.32,171197.34,1501.22,168137.11
9,2025-05-01,9,2000,855.99,1144.01,170053.32,1501.22,166635.89
10,2025-06-01,10,2000,850.27,1149.73,168903.59,1501.22,165134.66
11,2025-07-01,11,2000,844.52,1155.48,167748.11,1501.22,163633.44
12,2025-08-01,12,2000,838.74,1161.26,166586.85,1501.22,162132.22
13,2025-09-01,13,2000,832.93,1167.07,165419.78,1501.22,160630.99
14,2025-10-01,14,2000,827.1,1172.9,164246.88,1501.22,159129.77
15,2025-11-01,15,2000,821.23,1178.77,163068.12,1501.22,157628.54
16,2025-12-01,16,2000,815.34,1184.66,161883.46,1501.22,156127.32
17,2026-01-01,17,2000,809.42,1190.58,160692.87,1501.22,154626.09
18,2026-02-01,18,2000,803.46,1196.54,159496.34,1501.22,153124.87
19,2026-03-01,19,2000,797.48,1202.52,158293.82,1501.22,151623.65
20,2026-04-01,20,2000,791.47,1208.53,157085.29,1501.22,150122.42
21,2026-05-01,21,2000,785.43,1214.57,155870.72,1501.22,148621.2
22,2026-06-01,22,2000,779.35,1220.65,154650.07,1501.22,147119.97
23,2026-07-01,23,2000,773.25,1226.75,153423.32,1501.22,145618.75
24,2026-08-01,24,2000,767.12,1232.88,152190.44,1501.22,144117.53
25,2026-09-01,25,2000,760.95,1239.05,150951.39,1501.22,142616.3
26,2026-10-01,26,2000,754.76,1245.24,149706.15,1501.22,141115.08
27,2026-11-01,27,2000,748.53,1251.47,148454.68,1501.22,139613.85
28,2026-12-01,28,2000,742.27,1257.73,147196.95,1501.22,138112.63
29,2027-01-01,29,2000,735.98,1264.02,145932.93,1501.22,136611.4
30,2027-02-01,30,2000,729.66,1270.34,144662.6,1501.22,135110.18
31,2027-03-01,31,2000,723.31,1276.69,143385.91,1501.22,133608.96
32,2027-04-01,32,2000,716.93,1283.07,142102.84,1501.22,132107.73
33,2027-05-01,33,2000,710.51,1289.49,140813.36,1501.22,130606.51
34,2027-06-01,34,2000,704.07,1295.93,139517.42,1501.22,129105.28
35,2027-07-01,35,2000,697.59,1302.41,138215.01,1501.22,127604.06
36,2027-08-01,36,2000,691.08,1308.92,136906.08,1501.22,126102.83
37,2027-09-01,37,2000,684.53,1315.47,135590.62,1501.22,124601.61
38,2027-10-01,38,2000,677.95,1322.05,134268.57,1501.22,123100.39
39,2027-11-01,39,2000,671.34,1328.66,132939.91,1501.22,121599.16
40,2027-12-01,40,2000,664.7,1335.3,131604.61,1501.22,120097.94
41,2028-01-01,41,2000,658.02,1341.98,130262.63,1501.22,118596.71
42,2028-02-01,42,2000,651.31,1348.69,128913.95,1501.22,117095.49
43,2028-03-01,43,2000,644.57,1355.43,127558.52,1501.22,115594.27
44,2028-04-01,44,2000,637.79,1362.21,126196.31,1501.22,114093.04
45,2028-05-01,45,2000,630.98,1369.02,124827.29,1501.22,112591.82
46,2028-06-01,46,2000,624.14,1375.86,123451.43,1501.22,111090.59
47,2028-07-01,47,2000,617.26,1382.74,122068.68,1501.22,109589.37
48,2028-08-01,48,2000,610.34,1389.66,120679.03,1501.22,108088.14
49,2028-09-01,49,2000,603.4,1396.6,119282.42,1501.22,106586.92
50,2028-10-01,50,2000,596.41,1403.59,117878.84,1501.22,105085.7
51,2028-11-01,51,2000,589.39,1410.61,116468.23,1501.22,103584.47
52,2028-12-01,52,2000,582.34,1417.66,115050.57,1501.22,102083.25
53,2029-01-01,53,2000,575.25,1424.75,113625.82,1501.22,100582.02
54,2029-02-01,54,2000,568.13,1431.87,112193.95,1501.22,99080.8
55,2029-03-01,55,2000,560.97,1439.03,110754.92,1501.22,97579.57
56,2029-04-01,56,2000,553.77,1446.23,109308.7,1501.22,96078.35
57,2029-05-01,57,2000,546.54,1453.46,107855.24,1501.22,94577.13
58,2029-06-01,58,2000,539.28,1460.72,106394.52,1501.22,93075.9
59,2029-07-01,59,2000,531.97,1468.03,104926.49,1501.22,91574.68
60,2029-08-01,60,2000,524.63,1475.37,103451.12,1501.22,90073.45
61,2029-09-01,61,2000,517.26,1482.74,101968.38,1501.22,88572.23
62,2029-10-01,62,2000,509.84,1490.16,100478.22,1501.22,87071
63,2029-11-01,63,2000,502.39,1497.61,98980.61,1501.22,85569.78
64,2029-12-01,64,2000,494.9,1505.1,97475.51,1501.22,84068.56
65,2030-01-01,65,2000,487.38,1512.62,95962.89,1501.22,82567.33
66,2030-02-01,66,2000,479.81,1520.19,94442.71,1501.22,81066.11
